"botanisch","deutsch","kategorie"
"Abies koreana","Korea-Tanne, Zapfen-Tanne","Nadelgehölze"
"Abies nordmanniana","Nordmanns-Tanne, Kaukasus-Tanne","Nadelgehölze"
"Acer campestre","Feld-Ahorn","Laubgehölze"
"Acer negundo 'Aureovariegatum'","Goldbunter Eschen-Ahorn","Laubgehölze"
"Acer palmatum 'Atropurpureum'","Roter Fächer-Ahorn","Laubgehölze"
"Acer platanoides","Spitz-Ahorn","Laubgehölze"
"Acer platanoides 'Cleveland'","Kegelförmiger Spitz-Ahorn","Laubgehölze"
"Acer platanoides 'Globosum'","Kugel-Ahorn","Laubgehölze"
"Acer platanoides 'Royal Red'","Oregon-Blut-Ahorn, Roter Spitz-Ahorn","Laubgehölze"
"Acer pseudoplatanus","Berg-Ahorn","Laubgehölze"
"Achillea 'Coronation Gold'","Garten-Gold-Garbe, Garten-Schafgarbe","Stauden"
"Aconitum napellus","Blauer Eisenhut","Heimische, besonders geschützte Pflanzen"
"Aconitum napellus","Blauer Eisenhut, Berg-Eisenhut","Stauden"
"Actaea racemosa","Juli-Silberkerze","Stauden"
"Adiantum pedatum","Amerikanischer Frauenhaarfarn, Pfauenradfarn","Farne"
"Adonis vernalis","Frühlings-Adonisröschen","Heimische, besonders geschützte Pflanzen"
"Aegopodium podagraria","Gewöhnlicher Giersch, Geißfuß","Unkräuter, Wildkräuter"
"Aesculus hippocastanum","Rosskastanie","Laubgehölze"
"Ageratum houstonianum 'Sorte'","Leberbalsam","Beet- und Balkonpflanzen, Wechselflor"
"Ajuga reptans 'Atropurpurea'","Rotblättriger Kriechender Günsel","Stauden"
"Albizia julibrissin","Schlafbaum, Seidenbaum, Seidenakazie","Pflanzen für die Innenraum-Begrünung"
"Alchemilla mollis","Weicher Frauenmantel","Stauden"
"Alisma plantago-aquatica","Gewöhnlicher Froschlöffel","Sumpf- und Wasserpflanzen"
"Allium christophii","Sternkugel-Lauch","Zwiebel- und knollenbildende Pflanzen"
"Alnus glutinosa","Schwarz-Erle, Rot-Erle","Laubgehölze"
"Amelanchier lamarckii","Kupfer-Felsenbirne","Laubgehölze"
"Anemone blanda","Strahlen-Windröschen, Balkan-Windröschen, Berg-Anemone","Zwiebel- und knollenbildende Pflanzen"
"Anemone nemorosa","Busch-Windröschen","Stauden"
"Anemone x hybrida 'Honorine Jobert'","Herbst-Anemone","Stauden"
"Aquilegia caerulea 'Sorte'","Garten-Akelei, Langspornige Beet-Akelei","Stauden"
"Aquilegia vulgaris","Gewöhnliche Akelei","Heimische, besonders geschützte Pflanzen"
"Armeria maritima 'Düsseldorfer Stolz'","Grasnelke, Garten-Grasnelke","Stauden"
"Armeria maritima subsp. elongata","Sand-Grasnelke","Heimische, besonders geschützte Pflanzen"
"Aruncus dioicus","Wald-Geißbart","Stauden"
"Asplenium scolopendrium","Hirschzunge, Hirschzungenfarn","Farne"
"Asplenium scolopendrium","Hirschzunge, Hirschzungenfarn","Heimische, besonders geschützte Pflanzen"
"Aster 'Kassel' (Dumosus-Gruppe)","Kissen-Aster","Stauden"
"Aster amellus","Berg-Aster, Kalk-Aster","Heimische, besonders geschützte Pflanzen"
"Aster amellus 'Veilchenkönigin'","Sommer-Aster, Berg-Aster, Kalk-Aster","Stauden"
"Aster novae-angliae 'Andenken an Alma Pötschke'","Raublatt-Aster, Garten-Raublatt-Aster","Stauden"
"Astilbe 'Bressingham Beauty' (Arendsii-Gruppe)","Garten-Astilbe, Garten-Prachtspiere","Stauden"
"Aubrieta 'Blaumeise'","Blaukissen","Stauden"
"Aurinia saxatilis","Felsen-Steinkresse, Felsen-Steinkraut","Stauden"
"Bellis perennis 'Sorte'","Edel-Gänseblümchen, Maßliebchen, Tausendschön","Beet- und Balkonpflanzen, Wechselflor"
"Berberis julianae","Großblättrige Berberitze","Laubgehölze"
"Berberis thunbergii","Grüne Hecken-Berberitze","Laubgehölze"
"Berberis verruculosa","Warzen-Berberitze, Blaublatt-Berberitze","Laubgehölze"
"Bergenia 'Silberlicht'","Bergenie, Riesensteinbrech","Stauden"
"Betula pendula","Sand-Birke, Weiß-Birke, Hänge-Birke","Laubgehölze"
"Bidens ferulifolia 'Sorte'","Goldmarie, Fenchelblättriger Zweizahn","Beet- und Balkonpflanzen, Wechselflor"
"Bougainvillea glabra","Glatte Bougainvillee, Drillingsblume","Pflanzen für die Innenraum-Begrünung"
"Briza media","Mittleres Zittergras","Ziergräser"
"Brunnera macrophylla","Großblättriges Kaukasusvergissmeinnicht","Stauden"
"Buddleja davidii 'Empire Blue'","Sommerflieder, Schmetterlingsstrauch","Laubgehölze"
"Butomus umbellatus","Schwanenblume, Blumenbinse","Sumpf- und Wasserpflanzen"
"Buxus sempervirens","Europäischer Buchsbaum, Gewöhnlicher Buchsbaum","Heimische, besonders geschützte Pflanzen"
"Buxus sempervirens var. arborescens","Gewöhnlicher Buchsbaum, Hoher Buchsbaum","Laubgehölze"
"Calamagrostis x acutiflora 'Karl Foerster'","Garten-Sandrohr, Moor-Reitgras","Ziergräser"
"Calamintha nepeta 'Triumphator'","Bergminze, Garten-Bergminze","Stauden"
"Calluna vulgaris 'ArabellaⓈ'","Besenheide, Heidekraut, Sommerheide","Laubgehölze"
"Caltha palustris","Sumpf-Dotterblume","Sumpf- und Wasserpflanzen"
"Calystegia sepium","Gewöhnliche Zaunwinde","Unkräuter, Wildkräuter"
"Camassia leichtlinii","Leichtlins Prärielilie, Leichtlins Camassie","Zwiebel- und knollenbildende Pflanzen"
"Camellia japonica 'Sorte'","Japanische Kamelie, Teestrauch","Pflanzen für die Innenraum-Begrünung"
"Campanula persicifolia","Pfirsichblättrige Glockenblume","Stauden"
"Campanula poscharskyana","Hängepolster-Glockenblume","Stauden"
"Canna 'Sorte'","Canna, Blumenrohr","Beet- und Balkonpflanzen, Wechselflor"
"Carex morrowii 'Variegata'","Bunte Japan-Segge","Ziergräser"
"Carlina acaulis subsp. caulescens","Krausblättrige Silberdistel, Hochstänglige Große Eberwurz, Wetterdistel","Heimische, besonders geschützte Pflanzen"
"Carpinus betulus","Hainbuche, Weißbuche","Laubgehölze"
"Caryopteris x clandonensis 'Heavenly Blue'","Bartblume","Laubgehölze"
"Castanea sativa","Ess-Kastanie, Edel-Kastanie, Marone","Laubgehölze"
"Catalpa bignonioides","Trompetenbaum","Laubgehölze"
"Cedrus atlantica 'Glauca'","Blau-Zeder, Blaue Atlas-Zeder","Nadelgehölze"
"Celtis australis","Südlicher Zürgelbaum","Laubgehölze"
"Ceratostigma plumbaginoides","Kriechende Hornnarbe, Chinesische Scheinbleiwurz","Stauden"
"Cercidiphyllum japonicum","Katsurabaum, Kuchenbaum","Laubgehölze"
"Cercis siliquastrum","Gewöhnlicher Judasbaum","Laubgehölze"
"Chaenomeles x superba 'Elly Mossel'","Zierquitte, Scheinquitte","Laubgehölze"
"Chamaecyparis lawsoniana 'Alumii'","Blaue Hecken-Scheinzypresse","Nadelgehölze"
"Chamaecyparis lawsoniana 'Columnaris'","Blaue Säulen-Scheinzypresse","Nadelgehölze"
"Chamaecyparis lawsoniana 'Ellwoodii'","Blaue Kegel-Scheinzypresse","Nadelgehölze"
"Chamaecyparis lawsoniana 'Ivonne'","Goldgelbe Garten-Scheinzypresse","Nadelgehölze"
"Chamaecyparis obtusa 'Nana Gracilis'","Kleine Muschel-Scheinzypresse","Nadelgehölze"
"Chionodoxa forbesii","Blauer Schneeglanz, Blauer Schneestolz","Zwiebel- und knollenbildende Pflanzen"
"Chrysanthemum 'Julia' (Indicum-Gruppe)","Garten-Chrysantheme, Herbst-Chrysantheme, Winteraster","Stauden"
"Cirsium vulgare","Lanzett-Kratzdistel, Gewöhnliche Kratzdistel","Unkräuter, Wildkräuter"
"Citrus limon","Zitrone","Pflanzen für die Innenraum-Begrünung"
"Clematis 'Nelly Moser'","Edel-Clematis, Großblumige Clematis","Laubgehölze"
"Clematis vitalba","Gewöhnliche Waldrebe","Laubgehölze"
"Colchicum autumnale","Herbst-Zeitlose","Zwiebel- und knollenbildende Pflanzen"
"Convallaria majalis","Maiglöckchen","Stauden"
"Coreopsis verticillata 'Grandiflora'","Quirlblättriges Mädchenauge, Netzblattstern","Stauden"
"Cornus alba 'Elegantissima'","Weißbunter Hartriegel","Laubgehölze"
"Cornus alba 'Sibirica'","Sibirischer Hartriegel, Purpur-Hartriegel","Laubgehölze"
"Cornus kousa","Japanischer Blumen-Hartriegel","Laubgehölze"
"Cornus mas","Kornelkirsche","Laubgehölze"
"Cornus sanguinea","Roter Hartriegel","Laubgehölze"
"Cortaderia selloana","Pampasgras, Silber-Pampasgras","Ziergräser"
"Corylus avellana","Gewöhnliche Hasel, Haselnuss, Wald-Hasel","Laubgehölze"
"Corylus avellana 'Contorta'","Korkenzieher-Hasel","Laubgehölze"
"Corylus colurna","Baum-Hasel, Türkische Hasel","Laubgehölze"
"Cosmos bipinnatus 'Sorte'","Schmuckkörbchen, Muschel-Kosmee","Beet- und Balkonpflanzen, Wechselflor"
"Cotinus coggygria 'Royal Purple'","Roter Perückenstrauch","Laubgehölze"
"Cotoneaster x suecicus 'Coral Beauty'","Immergrüne Böschungsmispel","Laubgehölze"
"Crataegus monogyna","Eingriffliger Weißdorn","Laubgehölze"
"Crataegus x lavalleei 'Carrierei'","Apfel-Dorn, Lederblättriger Weißdorn","Laubgehölze"
"Crocus albiflorus","Weißer Krokus","Heimische, besonders geschützte Pflanzen"
"Crocus vernus 'Sorte'","Garten-Krokus, Frühlings-Krokus","Zwiebel- und knollenbildende Pflanzen"
"Cyclamen hederifolium","Herbst-Alpenveilchen, Saubrot","Zwiebel- und knollenbildende Pflanzen"
